Title,Original Title,Artists,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Key,Mode,Tempo,Loudness
Nothing Else Matters,Nothing Else Matters,"PG Roxette",0.269,0.52,0.0375,0.0554,0.0186,0.123,0.232,10,0,154.938,-8.541,
Nothing Else Matters,Nothing Else Matters,"Darius Rucker",0.384,0.414,0.0279,0.0817,0.00811,0.0955,0.116,4,0,142.509,-8.07,
Nothing Else Matters,Nothing Else Matters,"Chris Stapleton",0.326,0.635,0.0322,0.0207,0.425,0.106,0.26,0,1,131.533,-7.122,
Nothing Else Matters,Nothing Else Matters,"TRESOR",0.597,0.261,0.0299,0.27,0.00439,0.11,0.0463,6,0,139.859,-13.189,
Of Wolf and Man,Of Wolf and Man,"Goodnight, Texas",0.507,0.417,0.0311,0.0435,4.55e-05,0.1,0.351,5,1,116.026,-12.376,
The God That Failed,The God That Failed,"IDLES",0.329,0.868,0.0559,1.42e-05,6.85e-06,0.188,0.338,11,1,111.425,-6.37,
The God That Failed,The God That Failed,"Imelda May",0.459,0.764,0.0355,0.0285,0.00193,0.113,0.353,11,0,162.771,-5.749,
My Friend of Misery,My Friend of Misery,"Cherry Glazerr",0.588,0.865,0.0628,0.0648,9.1e-05,0.0825,0.365,9,1,119.985,-5.798,
My Friend of Misery,My Friend of Misery,"Izïa",0.621,0.799,0.0337,0.00216,0.00434,0.102,0.238,2,1,130.012,-5.349,
My Friend of Misery,My Friend of Misery,"Kamasi Washington",0.376,0.802,0.0809,0.016,0.665,0.0564,0.454,6,1,90.408,-7.809,
The Struggle Within,The Struggle Within,"Rodrigo y Gabriela",0.801,0.957,0.0742,0.0936,0.797,0.0572,0.54,6,0,97.468,-5.686,
Enter Sandman (Remastered),Enter Sandman (Remastered),Metallica,0.566,0.834,0.0298,0.00277,0.008,0.0625,0.621,6,0,123.296,-8.412,
Sad But True (Remastered),Sad But True (Remastered),Metallica,0.624,0.876,0.0342,0.000926,0.00164,0.0561,0.453,7,1,89.24,-6.005,
Holier Than Thou (Remastered),Holier Than Thou (Remastered),Metallica,0.458,0.97,0.0408,0.00178,0.272,0.0826,0.342,4,0,172.123,-5.915,
The Unforgiven (Remastered),The Unforgiven (Remastered),Metallica,0.531,0.583,0.0256,0.0184,0.00624,0.255,0.207,7,1,139.503,-9.47,
Wherever I May Roam (Remastered),Wherever I May Roam (Remastered),Metallica,0.539,0.834,0.0364,0.000646,0.000516,0.119,0.339,9,0,131.383,-7.459,
Don't Tread on Me (Remastered),Don't Tread on Me (Remastered),Metallica,0.655,0.882,0.0491,0.0068,0.00297,0.259,0.678,4,0,108.019,-6.471,
Through the Never (Remastered),Through the Never (Remastered),Metallica,0.384,0.95,0.0546,0.0109,0.351,0.139,0.482,4,0,94.266,-5.943,
Nothing Else Matters (Remastered),Nothing Else Matters (Remastered),Metallica,0.547,0.394,0.0262,0.0522,6.4e-06,0.0795,0.17,4,0,142.37,-9.793,
Of Wolf and Man (Remastered),Of Wolf and Man (Remastered),Metallica,0.605,0.792,0.0366,0.000988,0.0382,0.0852,0.47,5,1,121.768,-6.87,
The God That Failed (Remastered),The God That Failed (Remastered),Metallica,0.551,0.813,0.0363,0.000451,0.000123,0.174,0.431,8,1,83.046,-6.406,
My Friend of Misery (Remastered),My Friend of Misery (Remastered),Metallica,0.567,0.855,0.0355,0.000235,0.00714,0.1,0.329,9,0,119.513,-7.623,
The Struggle Within (Remastered),The Struggle Within (Remastered),Metallica,0.466,0.944,0.0514,0.0014,0.0289,0.236,0.505,0,1,98.766,-6.498,
